filepath,var_count,tseitin_var_count,compile_time,ddnnf_nodecount_plus,ddnnf_nodecount_mult,sddnnf_nodecount_plus,sddnnf_nodecount_mult,ddnnf_exist_nodecount_plus,ddnnf_exist_nodecount_mult,sddnnf_exist_nodecount_plus,sddnnf_exist_nodecount_mult,ddnnf_tseitin_nodecount_plus,ddnnf_tseitin_nodecount_mult,sddnnf_tseitin_nodecount_plus,sddnnf_tseitin_nodecount_mult
../sources/problog_bn_query/alarm.net.sAO2(HIGH).pl,629,323,2.264,804,21726,810,22067,804,7813,810,8154,804,7813,810,8154
../sources/problog_bn_query/alarm.net.hRBP(NORMAL).pl,1101,574,8.383,1989,149093,1995,149137,1989,42564,1995,42608,1989,42564,1995,42608
../sources/problog_bn_query/alarm.net.mINVOL(NORMAL).pl,414,216,0.582,305,11866,317,12037,305,3552,317,3723,305,3552,317,3723
../sources/problog_bn_query/alarm.net.vENTLUNG(LOW).pl,206,116,0.305,125,2594,149,2895,125,819,149,1120,125,819,149,1120
../sources/problog_bn_query/alarm.net.mINVOL(LOW).pl,414,216,0.535,305,11866,317,12037,305,3552,317,3723,305,3552,317,3723
../sources/problog_bn_query/alarm.net.cO(NORMAL).pl,1146,599,4.020,1870,104586,1879,104670,1870,32681,1879,32765,1870,32681,1879,32765
../sources/problog_bn_query/alarm.net.eXPCO2(ZERO).pl,569,295,1.428,577,14810,589,15093,577,4826,589,5109,577,4826,589,5109
../sources/problog_bn_query/alarm.net.eXPCO2(HIGH).pl,569,295,1.391,577,14810,589,15093,577,4826,589,5109,577,4826,589,5109
../sources/problog_bn_query/alarm.net.vENTALV(NORMAL).pl,414,216,0.611,305,11866,317,12037,305,3552,317,3723,305,3552,317,3723
../sources/problog_bn_query/alarm.net.vENTALV(LOW).pl,414,216,0.654,305,11866,317,12037,305,3552,317,3723,305,3552,317,3723
../sources/problog_bn_query/alarm.net.cATECHOL(NORMAL).pl,901,497,8.670,1896,74226,1950,78690,1896,22937,1950,27401,1896,22937,1950,27401
../sources/problog_bn_query/alarm.net.hREKG(LOW).pl,1101,574,7.479,1989,149093,1995,149137,1989,42564,1995,42608,1989,42564,1995,42608
../sources/problog_bn_query/alarm.net.bP(NORMAL).pl,1221,638,15.605,2230,85397,2239,86626,2230,24457,2239,25686,2230,24457,2239,25686
../sources/problog_bn_query/alarm.net.aRTCO2(HIGH).pl,510,260,0.998,379,6631,383,6787,379,2693,383,2849,379,2693,383,2849
../sources/problog_bn_query/alarm.net.hR(LOW).pl,1069,555,9.213,2389,174793,2391,175259,2389,43543,2391,44009,2389,43543,2391,44009
../sources/problog_bn_query/alarm.net.hR(NORMAL).pl,1069,555,13.262,2389,174793,2391,175259,2389,43543,2391,44009,2389,43543,2391,44009
../sources/problog_bn_query/alarm.net.hREKG(NORMAL).pl,1101,574,7.856,1989,149093,1995,149137,1989,42564,1995,42608,1989,42564,1995,42608
../sources/problog_bn_query/alarm.net.eXPCO2(NORMAL).pl,569,295,1.506,577,14810,589,15093,577,4826,589,5109,577,4826,589,5109
../sources/problog_bn_query/alarm.net.cATECHOL(HIGH).pl,901,497,8.086,1896,74226,1950,78690,1896,22937,1950,27401,1896,22937,1950,27401
../sources/problog_bn_query/alarm.net.pVSAT(HIGH).pl,529,272,1.573,406,7939,414,8333,406,2901,414,3295,406,2901,414,3295
../sources/problog_bn_query/alarm.net.aRTCO2(NORMAL).pl,510,260,1.681,379,6631,383,6787,379,2693,383,2849,379,2693,383,2849
../sources/problog_bn_query/alarm.net.mINVOL(ZERO).pl,414,216,0.707,305,11866,317,12037,305,3552,317,3723,305,3552,317,3723
../sources/problog_bn_query/alarm.net.hRBP(LOW).pl,1101,574,7.309,1989,149093,1995,149137,1989,42564,1995,42608,1989,42564,1995,42608
